minute,raw_momentum,momentum
67.0,-3.9506265866503725,-23.772478171015383
67.25,-3.7831329801914046,-22.76460308689956
67.5,-3.6227405531502606,-21.79945859981589
67.75,-3.469148238816456,-20.875233072636437
68.0,-3.322067734720316,-19.99019167570401
68.25,-3.1812229614710543,-19.142673130447484
68.5,-3.0463495445383137,-18.33108659105695
68.75,-2.917194318004495,-17.553908658365767
69.0,-2.7935148493563418,-16.80968052033415
69.25,-2.675078984423815,-16.09700521376689
69.5,-2.561664411612054,-15.414545002125221
69.75,-2.453058244608484,-14.761018864510913
70.0,-0.3329241027817682,-2.003335620918527
70.25,-0.31880921304744936,-1.91840076293189
70.5,-0.30529274833116915,-1.8370668642782313
70.75,-0.2923493373754116,-1.7591812560954756
71.0,-0.2799546845807481,-1.684597742180464
71.25,-0.26808552440145883,-1.6131763245694226
71.5,-0.25671957767463427,-1.5447829407529448
71.75,-0.2458355098007825,-1.479289212032213
72.0,-0.2354128906974351,-1.4165722025440515
72.25,-0.22543215645059922,-1.356514188502592
72.5,-0.2158745725920479,-1.2990024372242452
72.75,-0.20672219893354749,-1.2439289955213804
73.0,-0.1979578558919879,-1.1911904870673529
73.25,-0.1895650922422234,-1.140687918352631
73.5,-0.1815281542370808,-1.092326492867706
73.75,-0.1738319560365853,-1.0460154331640823
74.0,2.2304480686091157,13.421485645281045
74.25,2.135884387927887,12.852458685769944
74.5,2.045329897072609,12.307556602536172
74.75,1.958614619547606,11.785756579972029
75.0,4.235049065302976,25.483960392079446
75.25,4.055496878853559,24.40352407664779
75.5,3.8835571160529927,23.36889471640455
75.75,3.7189070351126374,22.37813024672856
76.0,3.7612375774368676,22.632849813687994
76.25,3.6017734436402993,21.673291233145722
76.5,3.44907006596295,20.754414788395977
76.75,3.3028408105253666,19.87449569034698
77.0,0.7208851957842275,4.337850516800901
77.25,0.6903220284900091,4.153939886068542
77.5,0.6610546392205272,3.977826462723897
77.75,0.6330280912385895,3.80917967075401
78.0,2.904877576944429,17.47979397008369
78.25,2.7817202977097084,16.738708051687286
78.5,2.663784483072629,16.029041744951375
78.75,2.550848760064304,15.349462961419826
79.0,11.463206301203467,68.978633031541
79.25,10.977203961357002,66.05416528910665
79.5,10.511806526292842,63.25368538465437
79.75,10.066140415646704,60.57193664062045
80.0,9.639369085995787,58.00388524532428
80.25,9.230691460613977,55.544710804186124
80.5,8.839340425800252,53.189797291542135
80.75,8.46458139095785,50.93472438607286
81.0,8.105710909721333,48.77525917358102
81.25,7.762055359543367,46.70734820154437
81.5,7.432969677262675,44.72710987052952
81.75,7.117836148279755,42.83082714818462
82.0,9.994724127067593,60.142196667969344
82.25,9.570980613757115,57.592364837666274
82.5,9.165202435236262,55.1506375117384
82.75,8.7766279202488,52.812431413858505
83.0,16.61848864990095,100.0
83.25,15.91391925139716,95.76032806985737
83.5,15.239221283910108,91.70040432046711
83.75,14.593128296763851,87.81260801866497
84.0,13.97442753263625,84.08964152537145
84.25,13.38195765113695,80.52451659746272
84.5,12.81460654889812,77.11054127039704
84.75,12.271309272086267,73.84130729697496
85.0,11.751046017416636,70.71067811865476
85.25,11.252840217918079,67.71277734684465
85.5,10.775756709855203,64.84197773255049
85.75,10.31889997736701,62.09289060367419
86.0,9.881412471527087,59.46035575013605
86.25,9.46247300067014,56.93943173783459
86.5,9.0612951889634,54.525386633262876
86.75,8.677126000329555,52.213689121370685
87.0,8.107858024950476,48.78817921266746
87.25,7.764111444130833,46.719720473360304
87.5,7.4349385906090255,44.73895759861014
87.75,7.119721586159633,42.84217257146346
88.0,6.817868748566916,41.02580500668785
88.25,6.528813480999959,39.28644546770427
88.5,6.252013208474634,37.6208290668592
88.75,5.986948359406125,36.02582933702463
89.0,6.10832349034025,36.7561913662748
89.25,5.849350613917985,35.19784943832933
89.5,5.601357337844077,33.70557609567861
89.75,5.363878163084517,32.27657024705726
90.0,5.136467326237173,30.90814955828
90.25,4.918697962805748,29.597745417331105
90.5,4.710161305948174,28.342898112917428
90.75,4.5104659191954495,27.141252217435145
91.0,4.319236961700671,25.990552165683336
91.25,4.136115484639102,24.888638021025784
91.5,3.9607577574385746,23.83344142105354
91.75,3.792834622575505,22.82298169513815
92.0,8.621162957725439,51.87693742401071
92.25,8.2556539317549,49.67752546982727
92.5,7.90564128936057,47.571361366893555
92.75,7.570468034717784,45.55449171223465
93.0,7.249505026469433,43.62313071419188
93.25,6.9421497967879295,41.77365308625286
93.5,6.647825420505057,40.00258724215983
93.75,6.365979432187018,38.30660877952317
94.0,6.096082789121931,36.68253423970816
94.25,5.837628878273272,35.1273151322823
94.5,5.590132565335219,33.63803221280617
94.75,5.35312928410494,32.211890003227495
95.0,5.126174164462498,30.846211544592236
95.25,4.908841197321557,29.53843337222374
95.5,4.7007224349834384,28.28610070393769
95.75,4.5014272253935275,27.086862832260966
96.0,4.310581478862719,25.938468712005356
96.25,4.12782696587745,24.838762734913637
96.5,3.952820644680285,23.785680683446778
96.75,3.785234017358892,22.777245856117325
97.0,3.3147066132347165,19.94589690473732
97.25,3.174173927386823,19.100256312451986
97.5,3.0395993663734973,18.290468106987657
97.75,2.910730325248567,17.515012264764014
98.0,2.787324908686854,16.772433206213776
98.25,2.6691514769313835,16.061337063568004
98.5,2.5559882109909355,15.380389064478313
98.75,2.447622696271798,14.7283110265649
99.0,2.3438515238621624,14.103878958187527
99.25,2.244479908720758,13.505920760935956
99.5,2.1493213240530333,12.93331402952725
99.75,2.058197151188587,12.384983944980185
100.0,1.9709363443026486,11.859901257112186
100.25,1.88737510935227,11.357080352571767
100.5,1.807356596624563,10.875577404780039
100.75,1.7307306063198902,10.414488602308644
101.0,1.6573533066173582,9.97294845236866
101.25,1.5870869636934115,9.550128156225993
101.5,1.5197996831867486,9.145234053493828
101.75,1.4553651626242834,8.757506132382007
